company_name,high,low,last_price,prev_close,change,percent_gain
Welspun Corp,753.95,740.05,753.15,742.95,10.20,1.37
Container Corp,753.35,741.00,753.00,742.90,10.10,1.36
GNFC,556.10,547.05,556.00,548.55,7.45,1.36
Dr Lal PathLab,"2,807.60","2,759.00","2,796.20","2,759.00",37.20,1.35
Ashok Leyland,209.56,205.38,208.80,206.04,2.76,1.34
Biocon,362.15,353.65,360.45,355.70,4.75,1.34
Caplin Labs,"2,035.80","1,995.05","2,028.45","2,001.75",26.70,1.33
Jyoti CNC Auto,"1,090.05","1,056.25","1,087.60","1,073.35",14.25,1.33
Tata Inv Corp,"6,021.85","5,945.00","6,007.00","5,928.30",78.70,1.33
Bajaj Auto,"8,789.60","8,602.50","8,738.20","8,625.85",112.35,1.3
BLS Internation,429.75,419.50,427.90,422.40,5.50,1.3
Raymond,"1,566.45","1,501.85","1,524.50","1,504.90",19.60,1.3
IGL,396.10,388.45,395.40,390.45,4.95,1.27
BPCL,260.50,257.75,260.25,257.00,3.25,1.26
Tata Comm,"1,576.10","1,556.80","1,574.65","1,555.10",19.55,1.26
Coal India,385.35,380.40,384.15,379.45,4.70,1.24
Mazagon Dock,"2,397.35","2,331.00","2,384.35","2,355.05",29.30,1.24
Mazagon Dock,"2,397.35","2,331.00","2,384.35","2,355.05",29.30,1.24
PI Industries,"3,477.90","3,435.00","3,467.50","3,425.20",42.30,1.23
SAIL,105.66,104.10,105.64,104.36,1.28,1.23
TVS Motor,"2,503.60","2,439.25","2,494.95","2,464.75",30.20,1.23
ZFCVINDIA,"10,943.60","10,688.00","10,899.85","10,768.30",131.55,1.22
JK Tyre & Ind,319.75,312.15,319.10,315.30,3.80,1.21
Eicher Motors,"5,250.00","5,162.20","5,244.65","5,182.90",61.75,1.19
Gujarat Gas,475.60,468.25,475.25,469.70,5.55,1.18
Tanla Platforms,557.15,548.00,555.45,549.00,6.45,1.17
Finolex Cables,995.95,984.15,995.65,984.35,11.30,1.15
KPIL,"1,061.90","1,041.80","1,060.00","1,047.95",12.05,1.15
Angel One,"2,325.00","2,280.40","2,322.80","2,296.55",26.25,1.14
Castrol,177.49,175.81,177.49,175.49,2.00,1.14
UNO Minda,908.20,899.05,905.25,895.10,10.15,1.13
TATA Cons. Prod,975.00,959.45,971.35,960.50,10.85,1.13
Capri Global,182.95,178.31,182.15,180.13,2.02,1.12
Capri Global,182.95,178.31,182.15,180.13,2.02,1.12
United Brewerie,"2,099.90","2,064.65","2,096.35","2,073.20",23.15,1.12
NTPC,326.80,322.00,324.80,321.25,3.55,1.11
PB Fintech,"1,735.25","1,704.50","1,729.95","1,710.95",19.00,1.11
Alkem Lab,"5,069.40","4,999.05","5,059.50","5,004.30",55.20,1.1
EID Parry,833.00,809.00,829.00,820.00,9.00,1.1
Jio Financial,242.25,238.50,240.90,238.30,2.60,1.09
Adani Energy,752.90,743.35,752.75,744.70,8.05,1.08
Go Digit,302.95,298.20,302.20,299.00,3.20,1.07
SRF,"2,733.30","2,636.05","2,693.00","2,664.85",28.15,1.06
Jindal Steel,858.60,847.35,857.90,849.00,8.90,1.05
